61.514,41.506,86.404,93.144,74.874,88.824,66.841,79.979,86.966,124.21,58.6,98,87.8,133,95.8,86.4,72.8
292.22,207.36,280.47,251.55,302.49,244.48,228,211.47,251.12,229.28,324,328,350,294,423,248,265
19.542,9.8369,19.962,20.404,16.802,18.38,16.432,14.045,19.371,8.2272,13.7,21.4,15.4,9.45,9.3,25.2,27
38.946,99.175,45.688,37.41,49.774,37.785,38.174,47.56,37.998,48.628,0,0,0,0,0,0.00595,0
0.048207,0.12707,0.047243,0.019223,0.068999,0.0099803,0.042885,0.048829,0.022008,0,0,0,0,0,0,0,0
0.027546,0.027788,0.02131,0.025906,0.046429,0.10792,0.097816,0.16634,0.096351,0.15946,0.00291,0.000962,0.0104,0,0.000552,0.00584,0.00506
57.811,72.669,45.218,39.535,53.218,41.84,43.736,48.999,62.748,38.64,33.3,44.3,47.5,40.3,40.9,40.6,43.9
0.84331,0.62075,0.46549,0.49322,0.75288,1.0907,0.42786,0.45147,0.58091,1.4174,0.695,0.715,0.59,0.253,0.511,0.705,0.712
167.44,173.75,222.87,287.74,234.94,312.32,293.06,247.15,236.96,445.4,307,341,384,403,343,230,221
0.0009275,0.48594,0.0010513,0.00054884,0.0014058,0.10993,0.0093225,0.16854,0.011091,0.012173,0.136,0.0512,0.0181,0.134,0.00194,0.0116,0.0108
9.3854,10.387,13.541,13.613,13.173,10.319,14.307,14.684,11.324,4.9292,14.1,10.4,10.6,18.3,13.6,15.9,17.8
167.44,173.75,222.87,287.74,234.94,312.32,293.06,247.15,236.96,445.4,307,341,384,403,343,230,221
0.0009275,0.48594,0.0010513,0.00054884,0.0014058,0.10993,0.0093225,0.16854,0.011091,0.012173,0.136,0.0512,0.0181,0.134,0.00194,0.0116,0.0108
0,0,0.028555,0,0,0,0,0,0,0,0,0,0,0,0,0.0328,0.0276
23.355,8.286,27.63,43.762,26.984,17.671,22.715,22.565,25.02,13.089,11.7,10.5,12.2,12.4,14.3,23.9,16.7
0.034606,0.33081,0.070344,0.038075,0.053855,0.01506,0.12561,0.067126,0.089546,0.015988,0.0541,0.0396,0.0536,0.0513,0.0459,0.146,0.14
7.7834,11.294,14.368,24.995,16.739,21.687,17.114,16.334,14.499,12.626,9.31,11.4,10.4,15,13.9,18.2,13.9
0.68111,0.01456,0.4836,0.67218,0.79098,0.72946,1.1456,1.3653,0.89899,0.3006,0.411,0.144,0.357,0.0879,0.413,0.351,0.266
0.76344,0.81621,0.97812,0.67103,1.1265,0.14826,0.90773,1.562,0.27821,0.25983,0,0,0,0.0274,0.0325,0.0157,0.0216
0.50015,0.33258,0.45773,0.18206,0.49037,0.51439,0.69848,0.69568,0.39581,0.30863,0.145,0.167,0.0888,0.264,0.195,0.176,0.267
3.3666,3.969,3.0545,3.3902,3.1463,3.978,3.2468,2.8245,3.524,2.6242,0,0,0.0121,0,0,0,0
20.216,26.627,13.832,19.867,17.123,17.402,18.415,16.38,18.202,12.185,11.5,9.47,8.35,13.8,10.1,14.6,13.4
0.0006238,0.010156,0.00048438,0.0036918,0.0044644,0.0020704,0.0037396,0.013374,0.0045002,0,0.00183,0.00287,0.00201,0.0434,0.0499,0.0116,0.0141
0.12123,0.26787,0.12902,0.095482,0.13193,0.093514,0.094614,0.088282,0.12779,0.11953,0.142,0.0906,0.128,0.0353,0.00146,0.0298,0.0942
0.038445,0.021328,0.023147,0.072373,0.011478,0.030674,0.04168,0.033379,0.13365,0.017883,0.231,0.341,0.255,0.161,0.398,0.163,0.207
0,0,0,0,0,0,0,0,0.003455,0.0064471,0,0,0,0.0076,0,0.0174,0.0162
